IDKEC;GMM_bin;Jenks_bin;GRID_SAT;GRID_SAT_JPG;yj_mean_w;mean_weight
7104080;0;1;CNN_DIMG_IND_2015_LS_256_3840_000001_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000001_REV.jpg;-0.4117796229152438;0.0
7104080;3;4;CNN_DIMG_IND_2015_LS_256_3840_000002_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000002_REV.jpg;2.3165554279244893;0.3644697070121765
7104060;0;1;CNN_DIMG_IND_2015_LS_256_3840_000003_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000003_REV.jpg;-0.4117796229152438;0.0
7104070;0;1;CNN_DIMG_IND_2015_LS_256_3840_000004_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000004_REV.jpg;-0.4117796229152438;0.0
7104070;0;1;CNN_DIMG_IND_2015_LS_256_3840_000005_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000005_REV.jpg;-0.4117796229152438;0.0
7104060;0;1;CNN_DIMG_IND_2015_LS_256_3840_000006_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000006_REV.jpg;-0.4117796229152438;0.0
7104070;0;1;CNN_DIMG_IND_2015_LS_256_3840_000007_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000007_REV.jpg;-0.4117796229152438;0.0
7104070;0;1;CNN_DIMG_IND_2015_LS_256_3840_000008_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000008_REV.jpg;-0.4117796229152438;0.0
7104070;0;1;CNN_DIMG_IND_2015_LS_256_3840_000009_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000009_REV.jpg;-0.4117796229152438;0.0
7104060;2;1;CNN_DIMG_IND_2015_LS_256_3840_000010_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000010_REV.jpg;-0.12596638890045145;0.17071600258350372
7104070;0;1;CNN_DIMG_IND_2015_LS_256_3840_000011_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000011_REV.jpg;-0.4117796229152438;0.0
7104070;0;1;CNN_DIMG_IND_2015_LS_256_3840_000012_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000012_REV.jpg;-0.4117796229152438;0.0
7104070;0;1;CNN_DIMG_IND_2015_LS_256_3840_000013_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000013_REV.jpg;-0.4117796229152438;0.0
7104061;0;1;CNN_DIMG_IND_2015_LS_256_3840_000014_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000014_REV.jpg;-0.4117796229152438;0.0
7104070;0;1;CNN_DIMG_IND_2015_LS_256_3840_000015_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000015_REV.jpg;-0.4117796229152438;0.0
7104051;0;1;CNN_DIMG_IND_2015_LS_256_3840_000016_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000016_REV.jpg;-0.4117796229152438;0.0
7104051;0;1;CNN_DIMG_IND_2015_LS_256_3840_000017_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000017_REV.jpg;-0.4117796229152438;0.0
7104061;2;1;CNN_DIMG_IND_2015_LS_256_3840_000018_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000018_REV.jpg;-0.1527988955916657;0.12168152630329132
7104041;0;1;CNN_DIMG_IND_2015_LS_256_3840_000019_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000019_REV.jpg;-0.4117796229152438;0.0
7104041;0;1;CNN_DIMG_IND_2015_LS_256_3840_000020_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000020_REV.jpg;-0.4117796229152438;0.0
7104051;0;1;CNN_DIMG_IND_2015_LS_256_3840_000021_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000021_REV.jpg;-0.4117796229152438;0.0
7104051;0;1;CNN_DIMG_IND_2015_LS_256_3840_000022_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000022_REV.jpg;-0.4117796229152438;0.0
7104041;2;1;CNN_DIMG_IND_2015_LS_256_3840_000023_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000023_REV.jpg;-0.3499717618712037;0.05626801773905754
7104041;0;1;CNN_DIMG_IND_2015_LS_256_3840_000024_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000024_REV.jpg;-0.4117796229152438;0.0
7104041;0;1;CNN_DIMG_IND_2015_LS_256_3840_000025_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000025_REV.jpg;-0.4117796229152438;0.0
7104051;0;1;CNN_DIMG_IND_2015_LS_256_3840_000026_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000026_REV.jpg;-0.4117796229152438;0.0
7104051;0;1;CNN_DIMG_IND_2015_LS_256_3840_000027_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000027_REV.jpg;-0.4117796229152438;0.0
7104041;0;1;CNN_DIMG_IND_2015_LS_256_3840_000028_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000028_REV.jpg;-0.4117796229152438;0.0
7104041;0;1;CNN_DIMG_IND_2015_LS_256_3840_000029_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000029_REV.jpg;-0.4117796229152438;0.0
7104041;0;1;CNN_DIMG_IND_2015_LS_256_3840_000030_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000030_REV.jpg;-0.4117796229152438;0.0
7104051;0;1;CNN_DIMG_IND_2015_LS_256_3840_000031_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000031_REV.jpg;-0.4117796229152438;0.0
7104051;0;1;CNN_DIMG_IND_2015_LS_256_3840_000032_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000032_REV.jpg;-0.4117796229152438;0.0
7104041;2;2;CNN_DIMG_IND_2015_LS_256_3840_000033_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000033_REV.jpg;0.15483455165844803;0.21053053935368857
7104041;2;1;CNN_DIMG_IND_2015_LS_256_3840_000034_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000034_REV.jpg;-0.0856050193197502;0.15497657656669617
7104040;2;1;CNN_DIMG_IND_2015_LS_256_3840_000035_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000035_REV.jpg;-0.2524575249581809;0.14730434119701385
7104050;0;1;CNN_DIMG_IND_2015_LS_256_3840_000036_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000036_REV.jpg;-0.4117796229152438;0.0
7104050;0;1;CNN_DIMG_IND_2015_LS_256_3840_000037_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000037_REV.jpg;-0.4117796229152438;0.0
7104050;0;1;CNN_DIMG_IND_2015_LS_256_3840_000038_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000038_REV.jpg;-0.4117796229152438;0.0
7103110;0;1;CNN_DIMG_IND_2015_LS_256_3840_000039_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000039_REV.jpg;-0.4117796229152438;0.0
7104040;1;5;CNN_DIMG_IND_2015_LS_256_3840_000040_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000040_REV.jpg;2.6691353059510523;0.4542844996732824
7104050;0;1;CNN_DIMG_IND_2015_LS_256_3840_000041_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000041_REV.jpg;-0.4117796229152438;0.0
7104040;2;2;CNN_DIMG_IND_2015_LS_256_3840_000042_REV.tif;CNN_DIMG_IND_2015_LS_256_3840_000042_REV.jpg;0.0883552219627008;0.18364151318868002
